text,label
@KonniBurton @GregAbbott_TX @GovAbbott. Yes why? Time to end this nonsense.  #Scamdemic #Maskdemic,conspiratorial
"@DanielAndrewsMP Hey Chairman Dan, can you tell us why Victoria was the only state that received Covid-19 testing kits from these guys?  #ResignDanielAndrews  #scamdemic2020 #CovidHoax  #endlockdown ",conspiratorial
@tonytardio Did everyone forget about the Victorian Labour party's branch stacking allegations just before the second wave? #ResignDanielAndrews #scamdemic2020 #endlockdown #CovidHoax,conspiratorial
@VicGovDHHS Could you please explain the justification for restrictions when there were more total deaths in July last year than July this year. Case numbers do not equal deaths. More than 99% of those infected will recover without any issue. #ResignDanielAndrews  #scamdemic2020  #CovidHoax,conspiratorial
anti #scamdemic rally in Ottawa Aug. 29 ,conspiratorial
"Finally someone says it.

#Scamdemic ",conspiratorial
@cuban_manny @swamp_nugget Because Trump endorsed it just like HCQ...sick sick people,conspiratorial
Despite the Media Lies - Study Shows Hydroxychloroquine Can Provide a 50-70% Chance of Recovery from the China Coronavirus via @gatewaypundit,conspiratorial
@ErikEJacobsen @nypost @SamSullivan But that wasnt the goal. #scamdemic,conspiratorial
@drdavidsamadi During the low rating a DNC cable TV torture segment it suddenly disappeared from the medias hourly fear mongering. #scamdemic,conspiratorial
"What should the rest of healthy society wear a face covering for the minority immune compromised?

#NoMasks #MasksOffAmerica #CovidHoax",conspiratorial
"@BahnstormerTom Ah yes the awakening has begun! Hold on to your seats, this ride will got more bizarre as the year roles on! #Plandemic #Agenda21 #ID2020 #Operationlockstep #Quantumtattoo #Coronavirus #Covid19",conspiratorial
"@Independent Covid19 doesnt exist. 
No one has fulfilled the 
Kochs Postulates to prove that it exists. 
There is no virus. 
The tests are not even testing for any virus. 
Covid is a #Scamdemic to usher in the UNs #Agenda21 + the 4th industrial revolution. 
",conspiratorial
"Part 2/2
#Hydroxychloroquine should be available Over-The-Counter, like it's the case in many countries, let the patient decide.
",conspiratorial
@zev_dr HCQ cannot be allowed to work until after November 4.,conspiratorial
"List of 5 c19 cures:

HCQ + zinc

NaCLO2 + zinc

Ivermectin + zinc

Bodesonide (asthma  drug)

Remdesimir (least effective big pharma drug)

No need for fear, lockdown, mask or social distancing.

Game over.  

Libel for all pols who continue the scam.

Vit.C, D, A, iodine too... ",conspiratorial
"Replying to @TrumpVacuum 

Responsibility for CV19 was given to governors of each state. Unfortunately 5 of them made disastrous decisions leading to the deaths of thousands of the elderly. WHO, CDC, FDA lied about/suppressed the HCQ cocktail success &amp; were responsible for more.",conspiratorial
"@realDonaldTrump .Unleash #Hydroxychloroquine #Zinc  #Zpack prophylactically &amp; early on for #COVID19 patients. It can prevent demise, hospitalization &amp; death in the #COVID19Pandemic!
End the politicization of the doctor/patient relationship! Honor the #HippocraticOath!
",conspiratorial
Renowned epidemiologist sees 'massive disinformation campaign' against hydroxychloroquine  ,conspiratorial
The Banning of HCQ Will be the 'Fake News' Blunder to Rule Them All via @C_H_Industries,conspiratorial
"Mr. President @realDonaldTrump, please tell your FDA Director @SteveFDA to make Hydroxychloroquine widely available so Doctors and Patients have access to this drug.  If the FDA Director refuses, then tell him he's FIRED! ",conspiratorial
"A life saved with HCQ treatment. 
",conspiratorial
@SheepDogSociety Most of the problems are from long term or high dosage use.  ,conspiratorial
"@Sid2001 @zev_dr @realDonaldTrump 2) Fauci, as you noted, is a Dr Mengele, and he has many co-conspirators. 

#TheyHidTheCure  #HCQ

#MassMurder   #CrimesAgainstHumanity

#FauciLiedPeopleDied",conspiratorial
@nypost Must have taken hydroxychloroquine,conspiratorial
"Nothing could shake confidence in a vaccine more than Steve Mnuchin and Mark Meadows saying the administration might give emergency approval for a vaccine before the election. 
You first, guys. Right after you finish your bleach and hydroxychloroquine ",Non-conspiratorial
Johnson knows Hydroxychloroquine is the Cure for the China Virus Fck he even used it himself ,conspiratorial
"Hydroxychloroquine works in high-risk patients, and saying otherwise is dangerous ",conspiratorial
@normanbowes33 @JulieAdmin Proof that HCQ works ,conspiratorial
"Sorry Dr. Young. You're wrong.

Hydroxychloroquine - it's been around for 60+ years and proven to work. Plus Zinc.
Mandatory masks is a gift to the new world order. Take them OFF for God's sake. Stand up to this LUNACY.
",conspiratorial
"@TheGopalan Although india hasn't YET bannned or restricted HCQ, there's an active campaign agaimst it. 


#Hydroxychloroquine",conspiratorial
"The more you know, the better you have tools to make the more positive choices. Life is about the choices one makes and thus the experiences one has.
#Hydroxychloroquine #HCQisTheCure #HCQworks #HCQcoverup #Fakemedia spinning stories. Control of the Nerrative. #NWO2020 ",conspiratorial
"Is Fauci guilty?

HUGE! Noted Yale Epidemiologist: Dr. Fauci and FDA Have Caused the 'Deaths of Hundreds of Thousands of Americans' that Could Have been Saved by HCQ (VIDEO) via @gatewaypundit",conspiratorial
@AnthemRespect @realDonaldTrump Why dont you try Chlorox?  Its been around a lot longer the hydroxychloroquine.  It works for stuff too.  What the hell do you have to lose?,Non-conspiratorial
@realDonaldTrump The FDA should be compelled to reinstate hcq for prophylaxis and treatment of covid on an emergency basis. Look at the studies of Dr Risch of Yale among many others.,conspiratorial
@PoliticalDoggy @JoeBiden @KamalaHarris The fact that 43 peer reviewed studies show that HCQ given with zinc reduces the death rate of Covid by drastic amounts (50-79%) means that all the media and politicians who lied about it because they hate Trump have led to the deaths of at least 50% of those who died,conspiratorial
"10 out of 10 drug commercials list DEATH as a possible side affect from their use. 

Why is Hydroxychloroquine being withheld from the American people? 

#AskWhy #ThinkWhileItsStillLegal",conspiratorial
"@setsitstraight @US_FDA Recovery is nothing short of a scandal. A hitman job from the industry

Massively overdosed HCQ in late-stage patients.

Again, HCQ+azt work on early-stage patients.

As explained by Pr. Raoult, Dr. Zelenko &amp; others In late stage patients, the virus is not there anymore.",conspiratorial
"@joshdcaplan @Solmemes1 A life saved with HCQ treatment. 
",conspiratorial
PETITION: Tell the FDA to reverse its opposition to Hydroxychloroquine and help save lives | LifePetitions ,conspiratorial
@Tokyogreen @KP24 HCQ has been proven to work when used as an early treatment all over the world and this has not been disputed.,conspiratorial
"@Chi_flag @bwomped @apiper13 @realDonaldTrump ""The Rest""? 

GTFO, it was a handful of professors that disagreed, and they didn't even attempt to understand or explain the many factors that are going into this. 

There are 30+ studies that show HCQ helps for Covid. You'll see what you want to see.",conspiratorial
Renowned epidemiologist sees 'massive disinformation campaign' against hydroxychloroquine ,conspiratorial
"Every ACTUAL DOCTOR, NOT #FOXFOOL IS SAYING @US_FDA was bullied by the #MeanTweet into making plasma declaration. Not a miracle, could be the next #Hydroxychloroquine bust.",Non-conspiratorial
@realDonaldTrump We need an EO on HCQ ASAP PLEASE ,conspiratorial
@realDonaldTrump The last doctor he pumped up that said she had cured all her patients successfully with HCQ was a nut case witch doctor!,Non-conspiratorial
"Yale professor of epidemiology saying that HCQ does indeed work and that the evidence is overwhelming. Left-leaning media, silent, complicit in the deaths of 170,000 Americans. Should they be arrested? I think so, but Im just a guy on Twitter. ",conspiratorial
"@ChrisCoons Also Dr. Fauci is not the doctor we should be listening to obviously, for many reasons. Thanks God Trump got him out of the way,and one more thing. Hydroxychloroquine does work on out patience and is not harmful. Quiet lying!!!",conspiratorial
And HCQ protects you from getting it. Problem solved. No vaccine or lockdown or mask or gloves or goggles or chip needed. Open up America!! #Trump2020  ,conspiratorial
How many more Americans must die because they don't have access to hcq?,conspiratorial
They dont want hydroxychloroquine because they want money. Has nothing to do with making people better. ,conspiratorial
How many more Americans must die because they don't have access to hcq?,conspiratorial
"@realDonaldTrump: TO President: Here is a video also talk hydroxychloroquine. many people couldn't get this medicine. they ask the family to buy it (OTC) mail to the USA and save their life. many healthcare workers also took it.
 ",conspiratorial
@KarluskaP How about make HCQ OTC,conspiratorial
"@australian HCQ its super safe and it often  prevents many chronic disorders!!Hydroxychloroquine is protective to the heart, not Harmful: A systematic review - ScienceDirect

",conspiratorial
"HYDROXYCHLOROQUINE

1950's - safe, works great
1960's - safe, works great
1970's - safe, works great
1980's - safe, works great
1990's - safe, works great
2000's - safe, works great
2010's - safe, works great
2020 - DEADLY, INEFFECTIVE",conspiratorial
"@BiancavanWyk16 @VusiSambo Researched and published papers that provides evidence showing Hydroxychloroquine is not only effective as treatment of #COVID__19, it reduces mortality rates, if you believe your ignorance makes it not so, that's arrogant, if you think your trolling is a worthy cause, well #msm",conspiratorial
@realDonaldTrump @LindaSuhler Dems hate HCQ cos President Trump proved it works!,conspiratorial
"@GOP @Mike_Pence @realDonaldTrump We should listen Dr Faucis paper conclusion in 2005- So HCQ functions as both a cure and a vaccine. In other words, it is a wonder drug for coronavirus....
Why suddenly HCQ is not that effective, not wonder drug any more? You go and figure out by yourself. It is all about coup ",conspiratorial
"In particular, see the 8-23-2020 Life Liberty &amp; Levine Fox News interview with Dr Risch. How many more Americans must die because they don't have access to hcq?",conspiratorial
"@asthegirlturns ""We cannot get the country moving, until you accept our blackmail. We will make your life miserable. We will lock you all down UNTIL you accept our nicely packaged solution. There is a reason why we're actively suppressing HCQ. You'll soon understand""",conspiratorial
"The truth is coming out that HCQ+AZ+Z works to treat Covid-19  After the truth prevails, the guilt of the dead without treatment, broken companies, economic depression and millions of unemployed, will fall on big pharma and Fauci! How many innocents!",conspiratorial
@zev_dr Here's a list of 79 studies showing HCQ works ,conspiratorial
"@realDonaldTrump Drug companies don't want us to use Hydroxychloroquine
There is no money in it for them. They want to make Billions on drugs - They don't care about the people only the money!",conspiratorial
@realDonaldTrump Hydroxychloroquine is being used extensively in some countries in early states very successfully. What is going on? Is it becasue its a very cheap drug and big pharma cannot make big money if people are cured?,conspiratorial
HCQ ..can we make it over the counter? ,conspiratorial
"@BillGertz Twitter banned hydroxychloroquine sulfate promoters, cooperating with the virus to commit murder ",conspiratorial
@bridgettebtweet The death rate is at 0.26% - they used to count car accident deaths - HCQ is very effective (has been for 63 years) - masks will not work - covid passes right thru them - the show must go on!,conspiratorial
"@Juanita32607998 @Christi21347717 @familyunequal @realDonaldTrump Here you go:
Feb 25, 2020
Didier Raoult publishes that it's ""Game over"" for the coronavirus because of protocol using hydroxychloroquine, azitromycin, and zinc.
Raoult continues to publish evidence on treatment &amp; recoveries.
",conspiratorial
"@realDonaldTrump CALIFORNIANS ARE HIT WITH NONSTOP FAKE NEWS MEDIA LIES, HOAX SCAM CHINESE CORONA VIRUS UPDATE CURE HYDROXYCHLOROQUINE NEVER MENTIONED TO US IN CALIFORNIA",conspiratorial
@walkadee He's not allowing people to use HYDROXYCHLOROQUINE for Covid-19.,conspiratorial
"Hydroxychloroquine could save up to 100,000 lives if used for COVID-19: Yale epidemiology professor #FoxNews",conspiratorial
@LBCNews HCQ+zinc is safe and works. Make it available OTC and this 'crisis' is over.  Wtf is Trump playing at?,conspiratorial
"@1776Stonewall #Hydroxycholoroquine needs to be available over the counter.  

Allow Americans to protect ourselves.  In the fight against COVID, this is our right to bear arms.  #HCQ=#2A",conspiratorial
"Left is blaming Trump about deaths, when they should put their focus on these scientists and doctors who were paid to say it's dangerous. 
Trump didn't kill these people.  A lack of HCQ did.  China did.  Bad, paid off scientists did. 
FDA approved for over 60yrs. ",conspiratorial
"@realDonaldTrump Trump is trying to reestablish his credibility by finding someone to verify his bat-shzt-crazy past comments...and hide his crimes, all ahead of his convention!
Voodoo doctor for hydroxychloroquine!
Paul Manafort for Russia collusion!

Or else, He's got nothing!
A real BS show!",conspiratorial
"@realDonaldTrump @zev_dr President Trump, can you PLEASE require the FDA to issue an EUA for #HCQ for early COVID19 treatment? Henry Ford Hospital's physicians and researchers requested this on July 1 and the FDA continues to refuse. We need to save lives and #FauciTheFraud needs to be held accountable.",conspiratorial
"@realDonaldTrump @RyanAFournier I saw him on the show. America, this needs to go viral and every adult in AMERICA sees this!
Dr. Fauci could have saved 17k people in 1987, when they had AIDS &amp; were dying of PCP Pneumonia, by refusing sick people Bactrim! He's doing the SAME NOW with Covid by REFUSING HCQ!!",conspiratorial
"You hear the words quarantine or social distancing and you immediately think of all the social things that you cannot do during this unprecedented time.

",Non-conspiratorial
Interestingly no. All thanks to washing our hands regularly and social distancing. ,Non-conspiratorial
"P.S. If God wanted to stop COVID-19 killing, a ""miracle"" would have been 5 months ago.

Much better than waiting for a ""miracle"" after 179,541 have died (so far) -- testing, face marks, social distancing, science, vaccines &amp; a distribution channel would be best human use of time. ",Non-conspiratorial
social distancing 101 ,Non-conspiratorial
social distancing ,Non-conspiratorial
@JJPOPESBABY The emojis are social distancing ,Non-conspiratorial
"Stay safe and consider other passengers when travelling with us; please maintain social distancing where possible.

#TravelSafelyThisSummer
#EnjoySummerSafely ",Non-conspiratorial
"@MarkRic86059743 The curve is exactly the same as it will be across the planet. The only difference now is those countries using hydroxychloroquine or similar. Virus laughs at lockdown, masks and social distancing. Norway and Sweden, life is back to OLD normal.",conspiratorial
@GeorgeTakei Im already being put at risk by being forced to teach face to face where masks are not required and social distancing isnt possible.  I might as well go see a 15 cent movie.,Non-conspiratorial
"haha ok so ppl are rlly goin to drive in shows, disregarding health regulations and social distancing rules...  and they STILL just wind up standing dead still recording everything on their phone?? literally all that for a closeup video?",Non-conspiratorial
"We'll be meeting for worship only: which means no childcare, preschool, or Life Groups tomorrow morning. Remember to wear your mask and social distance!

Classic Services will be at 8 &amp; 9:30 AM
Modern Services will be at 9:30 &amp; 11 AM

We can't wait to see you tomorrow! ",Non-conspiratorial
Fanfic idea: You and Tamta and listening to music while social distancing together at home.,Non-conspiratorial
"Hiking is a great idea for a social distancing date! Appreciate nature's beauty and enjoy each others company while a few feet apart.

 #gooddating #onlinedating #singles ",Non-conspiratorial
"@borges Andre, by now we should have known that everyone irrespective of festival or religion are not maintaining social distancing, so let's stop suggesting, even remotely, that a particular section is irresponsible. Otherwise you would come off as biased.",Non-conspiratorial
The CDC recommends and the state of NC mandates wearing cloth face coverings in public settings where other social distancing measures are difficult to maintain. #COVID19 ,Non-conspiratorial
"An image appearing to show an official WHO publication highlighting Non-conspiratorial research has been shared on social media in an attempt to prove the global health body does not recommend mask-wearing during the #COVID19 pandemic. #FaceMask 

",Non-conspiratorial
A huge thank you to the Henry Lea Hillman Foundation for their support of our Family Preservation Project. Your support helps connect incarcerated moms and their families throughout the difficulties of social distancing. Thank you! ,Non-conspiratorial
"I'm sure it's possible to have fans in the stands if social distancing measure are met, but using Kansas City as an example is just reckless. Those people still think computers are witchcraft.",Non-conspiratorial
No masks and no social distancing. Should all be fined. ,Non-conspiratorial
"When people get off to protest they are jailed if they are more than 5 people&amp;the reason given is that social distancing is not being followed And now when the thousands of students will come out to give exams,will social distancing be followed?
#INDIAunitedtoPostponeNEET_JEE ",Non-conspiratorial
"@kiga_eyebrows I actually don't think covid is so stupid to leave owino that has a billion people with no mask, no sanitizer, no social distance  and goes straight to vision group, where all prevention guidelines are followed!!  Something is fishy",conspiratorial
"@MaxCheeseRight @yeahokisee @ChrisTdaBearfan @latimes @BillPlaschke Explain this:  Sweden NO MASKS, NO LOCKDOWN, NO SOCIAL DISTANCING.  Sweden 14% infection rate of total population.  NYC 13% infection rate of total population. NYC has a 4x higher death rate.",conspiratorial
"@shellzbelle @ExgopRachel @johnhassomesoap @daytondesi @RupaliChadhaMD @drdavidsamadi @realDonaldTrump Even if your argument is correct, it only shows you can get  it even if you DO wear a mask which is why social  distancing is also suggested.",Non-conspiratorial
"@Gma2Iowa @HannahCox7 Masks arent worthless. Stop being anti science. Stupid home made masks suck. We should have just done social distancing, mandatory masks, and the shutdown should have been 3-4 weeks max",Non-conspiratorial
"One Bad Decision of Govt. Can lead to loss of many lives and money 
Can govt. tell if they are ready to take exam they have all SOPs and safety measures
then why did KCET,KEAM,UP B.Ed. etc.. failed in providing SOPs,Social distancing,safety to students and ..",Non-conspiratorial
"#CCPLions Starting Monday, 8/24 the Main Campus  Bookstore will be open Monday-Friday, 9 a.m.- 5 p.m. to purchase books and merch. Social distancing guidelines and masks are mandatory. Online ordering and in-store pick up is also available.  ",Non-conspiratorial
"It never fails when the other marked player in Inno EX goes the same way as I do with the swords.

SOCIAL FUCKING DISTANCING. GET AWAY FROM ME.",Non-conspiratorial
"@evantessuraea Jesus, he's also opposing social distancing on ""Christian"" grounds?",Non-conspiratorial
@BorisEP @FLOTUS @WhiteHouse Looking ready-made for speeches and non-mask and no social distancing events.  Well done!  Jackie O. must be rolling in her grave at this hot mess.,Non-conspiratorial
TONIGHT!  August 22 - 8:30pm - Mayor Dan Reiman and the Carteret Health and Recreation Department present Carteret's Movies in the Park - Toy Story 4. Please bring a chair or blanket to sit on. Please remember to practice social distancing. ,Non-conspiratorial
I assumed that #BritishAirways does implement some social distancing policy. I guess tomorrow I will hold A4 papers while sitting in the middle seat? I know for a fact I do not have COVID as I did a test recently for safety of my my parents. That's now in vain I suppose. Thx BA. ,Non-conspiratorial
"Happy to see @harrisonvball back in action! Great game here vs. @WCHSWolves volleyball. Thank you to ALL for wearing a mask  &amp;  social distancing today. We do this so the kids can play!  #FindYourGreatness. 

Grace  &amp; Patience  in 2020.  @HarrisonWildcat @demcatsdoe ",Non-conspiratorial
"@CathNoakes I expect the young will by force of hormones and enthusiasm for life forgo social distancing. Our unhealthy, ageing population to be insulated from Covid will create societal tensions that we really should at all costs avoid.",Non-conspiratorial
@TheTehseen They're taking advantage of social distancing.,Non-conspiratorial
"Most Russians Say Hell, No! They're Not Taking Putins COVID-19 Vaccine via @Yahoo",Non-conspiratorial
there isn't nearly enough social distancing in this walmart for my taste,Non-conspiratorial
Kylo doesnt always believe in social distancing. Who needs personal space? He wasn't happy when I made him get down.  Lol ,Non-conspiratorial
 reqd by @drawndemonic i dont have the context for this but it SOUNDS like an anti mask person whos about to get dunked on on social media ,Non-conspiratorial
@THEJamesWhale Social distancing at it's best,Non-conspiratorial
"@WhiteHouse @realDonaldTrump No masks, no social distancing. COVID19 spreader from Trump ",Non-conspiratorial
@CovidSenseBloke Down in St Ives.... although the council have tried there is no social distancing going on and its great!!!! ,conspiratorial
"Todays family golf Mattsson invitational with social distancing. 

#family #wearefamily #socialdistancing #golf @ GolfStar Brollsta ",Non-conspiratorial
Nobody maintains social distancing like a guy escorting an ugly girl,Non-conspiratorial
"The Imagine Center for Psychological Health takes metro-Detroit practice fully virtual in spirit of social distancing and supporting #telehealth:

",Non-conspiratorial
*social distancing,Non-conspiratorial
"Our tips on STOMPing out COVID-19 
 
S - Sanitize your hands frequently
T - Track your symptoms daily
O - Observe social distancing
M - Mask up when indoors or near others
P - Plan to stay home when sick
 
More info:  #TideTogether ",Non-conspiratorial
"Enjoy quality time and meaningful conversation with your significant other this weekend @rowanpalmsprings  
.
.
Don't forget to bring your face covering and practice social distancing while exploring Palm Springs.
",Non-conspiratorial
"@TwitterMoments TRUMP WAS TRUMPED WITH LIES AND DECEPTION BY FAUCI &amp; BIG PHARMA CONTROLLED FDA &amp; CDC.
THE PLANDEMIC IS OVER IN SWEDEN.!!
ONLY NATURAL IMMUNITY.!!
NO LOCK DOWNS
SCHOOLS STAYED OPEN
NO MASKS
NO SOCIAL DISTANCING
NO BUSINESSES CLOSED
NOT WAITING FOR DANGEROUS EXPERIMENTAL INJECTIONS ",conspiratorial
@kawa_ahgase *elbow touch only because social distancing*,Non-conspiratorial
I gotta do better . I do a good job staying masked up and social distancing but I fuck up with taking pictures ,Non-conspiratorial
"@tfisher88fan @RexChapman Worked with Obama and Biden during H1N1. Actually, protect the aged and high risk public. Unlike Cuomo. I like masks and social distancing. We must keep businesses and schools open. The unintended consequences are too great.",Non-conspiratorial
"Open-Paw Invite to join us Sept 12th at DOG DAY presented by @MarsPetcareUSThis Event is all about celebrating VIRT-U-WOOF-LY with our furry BFF's while safely social distancing. Much fun is planned! For full event details &amp; to get tickets 
#thankyou ",Non-conspiratorial
"In line with government guidelines, @seftoncouncil is encouraging people to safely visit the area.

@LivEchonews
@EchoWhatsOn

",Non-conspiratorial
"Social Distancing - Stop Covid-19

Infographic

#coronavirus #COVID19 #KeepSafe #SocialDistancing ",Non-conspiratorial
"The U.S. can get the coronavirus under control in 4-12 weeks if nearly everyone wears masks, washes hands regularly and practices social distancing, the head of the Centers for Disease Control and Prevention said Friday. ",Non-conspiratorial
Archery is social-distancing friendly fun at Runge Nature Center. #JCMO #MidMO ,Non-conspiratorial
"Ahead of the upcoming football season, @KU_Football players said Thursday they would follow social distancing protocols  on and off the field  in order to play this fall. #KUfball ",Non-conspiratorial
"want to enjoy a traditional kise meal? you still can! 

come on in &amp; choose your favorite food that will be served by our staff to ensure your safety. stay &amp; enjoy your meal!
[tables and chairs are spaced to ensure social distancing] ",Non-conspiratorial
the fact that a nasty country music fest is happening rn with no social distancing or face masks or anything and lost lands was cancelled!!! im honestly heartbroken because i know their activities are going to reflect poorly on the entire music industry for shows/fests,Non-conspiratorial
@CTIronman @mjacobs324 @RepJahanaHayes @mrsjjee Until idiots start complying with mask and social distancing requirements.,Non-conspiratorial
"Exam will be conducted
With social distancing ",Non-conspiratorial
"@CTVNews No masks - Check
No social distancing - check
Big crowd - Check",Non-conspiratorial
"@AnanyaS00106198 @gauaadmi These might be old pics
Neither are they wearing masks nor are they maintaining social distancing",Non-conspiratorial
"I have seen regularly in social media The voice of people's shutdown continuously. 
About cancel JEE and NEET exams....
 
#INDIAunitedtoPostponeJEE_NEET",Non-conspiratorial
"""My mom is telling me to social distance, wash my hands and wear a mask  so Im passing along the message. Lovely tribute by Tiafoe to his Nurse Mom:))  ",Non-conspiratorial
"@bkdows @keerunm14 @gopherpuckfan @Flynna40 @kare11 Surgical masks, N95 masks work. It is better than cloth masks. Above all it is better than no masks at all. That and social distancing.",Non-conspiratorial
"@jimpick1882 @NikkiStix55 @allisonpearson @Telegraph Can't see anything ""civilised"" in anti-social distancing. Not letting loved ones say good-bye on their deathbed or putting an arm around family members at funerals.",Non-conspiratorial
"I think 2020 is doing social distancing with 2021.
As its not finishing.

#COVID",Non-conspiratorial
"South Korea is tightening up social distancing measures nationwide, as the country battles with an increase in daily new infections.
Health Minister Park Neung-hoo announced new steps to curb the spread of the coronavirus after 332 new cases were reported.
",Non-conspiratorial
"@Darlotoon We are trying to keep to many people happy and consequently coming up with mixed procedures.
Bottom line should be common sense ie. Wear a mask in enclosed spaces and where 1 metre social distancing cannot be achieved.",Non-conspiratorial
